,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal_Kicks,Goal_Kicks,Goal_Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal_Kicks,Goal_Kicks,Goal_Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper
Liverpool,38,4,0,5,0,36.4,0.3,-1.6,-0.04,130,435,29.9,1023,208,33.2,32.3,204,46.6,42.8,393,25,6.4,67,1.76,17.4,84,2,2,7,2,75.1,0.32,-6.9,-0.18,358,986,36.3,1021,171,61.3,40.1,395,91.1,62.4,555,38,6.8,52,1.37,14.1
Manchester City,27,0,1,1,2,25.5,0.28,0.5,0.01,114,239,47.7,996,183,15.0,26.2,170,52.9,45.7,286,21,7.3,90,2.37,18.6,106,6,1,10,3,90.2,0.33,-12.8,-0.34,311,936,33.2,875,105,65.6,45.7,407,88.9,61.2,492,17,3.5,24,0.63,12.2
Manchester Utd,28,1,1,5,2,39.4,0.28,13.4,0.35,238,627,38.0,817,152,48.5,39.6,297,77.8,55.8,501,17,3.4,21,0.55,12.7,68,1,2,6,1,55.9,0.31,-11.1,-0.29,241,701,34.4,871,147,55.2,41.7,276,79.7,57.3,556,30,5.4,47,1.24,14.2
Newcastle Utd,47,4,0,3,3,48.8,0.3,4.8,0.13,293,801,36.6,880,115,58.8,42.2,339,83.8,56.4,601,39,6.5,32,0.84,12.7,39,0,1,8,1,42.8,0.29,4.8,0.13,284,708,40.1,976,175,49.2,39.5,287,79.4,56.0,479,24,5.0,51,1.34,16.7
Southampton,56,1,1,6,0,46.3,0.28,-9.7,-0.25,200,683,29.3,664,118,61.6,43.7,304,90.1,59.3,569,29,5.1,24,0.63,12.1,37,3,1,7,1,36.8,0.25,0.8,0.02,321,789,40.7,913,159,57.2,42.6,321,83.2,58.6,644,41,6.4,48,1.26,13.7
Stoke City,68,5,0,9,2,66.5,0.29,0.5,0.01,402,1029,39.1,1003,117,70.3,43.0,361,89.8,62.2,648,26,4.0,43,1.13,14.0,35,0,1,7,1,35.2,0.26,1.2,0.03,220,591,37.2,845,162,46.0,37.9,273,74.0,53.2,465,37,8.0,29,0.76,13.4
Swansea City,56,3,1,5,2,59.5,0.28,5.5,0.14,315,812,38.8,914,159,54.5,42.2,358,87.7,59.9,615,42,6.8,22,0.58,11.4,28,1,0,9,1,27.0,0.28,0.0,0.0,244,610,40.0,860,136,46.4,38.7,266,79.3,56.0,547,28,5.1,47,1.24,14.9
Tottenham,36,2,1,7,1,35.0,0.27,0.0,0.0,159,397,40.1,972,174,29.4,33.3,244,45.5,40.8,452,19,4.2,78,2.05,15.5,74,2,0,5,4,71.5,0.33,1.5,0.04,303,929,32.6,945,146,64.9,46.5,345,91.6,60.9,635,23,3.6,28,0.74,13.1
Watford,64,6,1,9,1,55.9,0.33,-7.1,-0.19,320,804,39.8,889,146,66.1,44.4,260,83.1,56.9,524,25,4.8,27,0.71,12.6,44,3,0,6,2,43.6,0.3,1.6,0.04,275,717,38.4,910,155,51.2,40.3,300,83.7,58.0,560,46,8.2,31,0.82,12.0
West Brom,56,1,2,7,2,46.0,0.3,-8.0,-0.21,353,920,38.4,823,70,71.8,48.6,345,95.4,65.4,614,40,6.5,27,0.71,12.7,31,1,1,11,0,31.2,0.27,0.2,0.01,237,588,40.3,873,206,42.3,37.2,304,72.0,54.3,613,46,7.5,32,0.84,12.9
West Ham,68,5,1,10,1,60.6,0.31,-6.4,-0.17,329,914,36.0,824,99,72.5,48.5,339,93.5,62.8,600,17,2.8,42,1.11,14.9,48,2,1,7,0,42.0,0.3,-6.0,-0.16,251,638,39.3,851,153,51.8,41.3,249,79.1,56.4,562,30,5.3,50,1.32,14.8
