,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Advanced_Passing,Advanced_Passing,Advanced_Passing,Advanced_Passing,Advanced_Passing,Advanced_Passing,Advanced_Passing,Advanced_Passing,Advanced_Passing,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Advanced_Passing,Advanced_Passing,Advanced_Passing,Advanced_Passing,Advanced_Passing,Advanced_Passing,Advanced_Passing,Advanced_Passing,Advanced_Passing
Liverpool,20367,24900,81.8,367078,125526,8322,9359,88.9,9546,10936,87.3,1998,3478,57.4,58,52.7,47.7,5.3,488,1763,464,67,1769,11830,16343,72.4,215503,87782,5348,6298,84.9,4554,5708,79.8,1458,3207,45.5,23,21.6,19.5,1.4,200,843,168,44,814
Manchester City,26164,29961,87.3,421268,127247,13122,14165,92.6,10259,11378,90.2,1810,2720,66.5,85,57.9,60.7,27.1,498,2026,525,44,1756,8395,12187,68.9,157327,68682,3748,4498,83.3,3155,4107,76.8,1171,2694,43.5,17,16.4,15.2,0.6,162,586,125,36,559
Manchester Utd,17765,21865,81.2,292677,102013,8463,9383,90.2,6387,7424,86.0,1751,3131,55.9,53,40.5,42.2,12.5,377,1324,357,73,1196,13672,17783,76.9,235906,92818,6596,7541,87.5,5273,6385,82.6,1354,2833,47.8,18,30.9,31.8,-12.9,341,1062,286,62,1100
Newcastle Utd,11071,15659,70.7,199740,86123,5153,6161,83.6,4100,5358,76.5,1385,3119,44.4,29,32.1,26.1,-3.1,321,911,220,75,899,17255,22043,78.3,316957,112203,7370,8518,86.5,7275,8605,84.5,2093,3688,56.8,32,37.4,39.1,-5.4,358,1487,336,71,1310
Southampton,14336,19027,75.3,248348,90484,6923,7931,87.3,5463,6720,81.3,1497,3220,46.5,23,29.5,31.3,-6.5,343,1154,288,77,1160,13666,18211,75.0,249670,97072,5999,7099,84.5,5594,6863,81.5,1629,3169,51.4,43,33.7,30.8,9.3,370,1208,302,73,1036
Stoke City,10122,14569,69.5,194246,88522,4435,5386,82.3,3825,5023,76.1,1514,3194,47.4,28,27.4,25.8,0.6,288,921,230,60,899,16444,21090,78.0,286853,106110,7479,8547,87.5,6730,8047,83.6,1658,3252,51.0,49,46.3,41.9,2.7,424,1297,377,91,1293
Swansea City,13223,17437,75.8,247025,93667,5802,6660,87.1,5291,6513,81.2,1760,3374,52.2,20,20.2,19.7,-0.2,223,973,190,57,871,17707,21866,81.0,311296,110354,8115,9060,89.6,7233,8379,86.3,1802,3261,55.3,37,42.1,38.5,-5.1,403,1482,366,88,1349
Tottenham,19284,23695,81.4,363817,126434,7604,8618,88.2,9105,10458,87.1,2278,3694,61.7,51,49.0,43.6,2.0,462,1793,394,63,1692,10279,14649,70.2,194241,82725,4476,5395,83.0,3802,4875,78.0,1553,3268,47.5,22,22.1,21.6,-0.1,250,797,204,54,769
Watford,12758,17513,72.8,225604,93077,6170,7329,84.2,4621,5948,77.7,1528,3090,49.4,27,29.2,29.4,-2.2,320,1071,285,79,1067,13459,18013,74.7,247371,96371,5931,6990,84.8,5334,6652,80.2,1723,3250,53.0,43,36.4,30.1,6.6,301,1078,247,60,1035
West Brom,10495,15004,69.9,201340,89341,4694,5597,83.9,3898,5098,76.5,1590,3408,46.7,24,25.9,26.9,-1.9,272,967,228,115,800,17631,22103,79.8,316202,111605,7911,8976,88.1,7140,8468,84.3,2013,3520,57.2,44,36.8,36.5,7.2,384,1568,333,80,1400
West Ham,11779,16197,72.7,221883,87790,5113,6041,84.6,4678,5850,80.0,1633,3407,47.9,29,24.9,22.7,4.1,278,989,233,78,847,15856,20189,78.5,278685,103748,7331,8412,87.1,6257,7465,83.8,1728,3192,54.1,48,39.1,42.2,8.9,424,1348,316,77,1247
