,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal_Kicks,Goal_Kicks,Goal_Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal_Kicks,Goal_Kicks,Goal_Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper
Liverpool,33,1,1,2,1,27.1,0.25,-4.9,-0.13,121,288,42.0,1019,191,21.9,28.7,237,27.4,30.4,426,17,4.0,77,2.03,18.3,85.0,5.0,2.0,11.0,2.0,74.6,0.31,-8.4,-0.22,234.0,782.0,29.9,944.0,173.0,54.6,40.6,351.0,76.1,53.2,705.0,25.0,3.5,41.0,1.08,14.7
Manchester City,35,3,1,4,1,34.1,0.29,0.1,0.0,92,227,40.5,1047,195,16.6,26.2,167,31.7,31.6,323,15,4.6,64,1.69,18.9,102.0,6.0,5.0,8.0,2.0,88.2,0.3,-11.8,-0.31,254.0,742.0,34.2,992.0,160.0,51.1,39.4,380.0,61.8,46.9,645.0,25.0,3.9,15.0,0.39,10.4
Manchester Utd,36,3,1,8,1,34.7,0.25,-0.3,-0.01,83,262,31.7,672,153,28.4,30.6,268,26.5,29.0,489,10,2.0,22,0.58,15.0,66.0,10.0,1.0,5.0,1.0,62.7,0.24,-2.3,-0.06,222.0,688.0,32.3,914.0,124.0,51.4,39.1,310.0,70.3,51.2,487.0,10.0,2.1,27.0,0.71,15.0
Newcastle Utd,58,2,3,8,2,63.0,0.32,7.0,0.18,288,750,38.4,749,119,60.7,42.0,340,86.8,58.3,686,21,3.1,26,0.68,11.6,38.0,0.0,1.0,6.0,0.0,41.5,0.31,3.5,0.09,142.0,384.0,37.0,848.0,215.0,31.6,32.3,212.0,54.7,43.0,454.0,36.0,7.9,32.0,0.84,14.3
Norwich City,75,4,1,11,3,66.5,0.29,-5.5,-0.14,173,622,27.8,1292,211,36.0,34.5,349,45.0,38.6,682,30,4.4,26,0.68,12.8,26.0,2.0,0.0,3.0,1.0,30.3,0.23,5.3,0.14,223.0,520.0,42.9,837.0,148.0,41.7,36.4,238.0,71.8,50.7,372.0,10.0,2.7,45.0,1.18,19.1
Sheffield Utd,39,1,0,2,0,43.7,0.32,4.7,0.12,270,872,31.0,816,110,74.4,51.9,272,97.4,69.1,572,20,3.5,23,0.61,12.3,39.0,1.0,0.0,5.0,3.0,38.1,0.34,2.1,0.05,158.0,520.0,30.4,1056.0,207.0,35.2,35.2,292.0,50.7,43.0,643.0,22.0,3.4,37.0,0.97,13.9
Southampton,60,3,1,5,1,54.7,0.31,-4.3,-0.11,229,706,32.4,824,103,59.8,41.8,255,83.5,56.2,578,29,5.0,39,1.03,13.7,51.0,2.0,2.0,5.0,0.0,49.3,0.26,-1.7,-0.04,209.0,614.0,34.0,1009.0,180.0,43.0,36.7,291.0,61.9,46.7,548.0,18.0,3.3,49.0,1.29,17.8
Tottenham,47,5,1,4,2,53.0,0.26,8.0,0.21,167,484,34.5,798,160,39.7,34.3,292,57.2,41.7,574,23,4.0,24,0.63,13.7,61.0,3.0,1.0,6.0,5.0,50.4,0.3,-5.6,-0.15,210.0,578.0,36.3,918.0,168.0,46.4,37.8,244.0,62.3,47.7,504.0,16.0,3.2,44.0,1.16,16.9
Watford,64,8,3,7,3,62.6,0.31,1.6,0.04,302,923,32.7,912,118,71.7,46.9,295,91.2,62.2,581,30,5.2,55,1.45,15.9,36.0,7.0,0.0,1.0,1.0,38.7,0.26,3.7,0.1,142.0,459.0,30.9,890.0,187.0,35.1,33.7,273.0,53.8,44.3,544.0,18.0,3.3,36.0,0.95,14.7
West Ham,62,5,2,6,3,60.5,0.3,1.5,0.04,288,743,38.8,773,142,62.7,44.1,291,88.7,58.9,600,12,2.0,22,0.58,12.2,49.0,4.0,1.0,10.0,0.0,47.8,0.29,-1.2,-0.03,163.0,441.0,37.0,863.0,169.0,36.3,33.7,253.0,50.6,41.4,563.0,33.0,5.9,25.0,0.66,12.4
Wolves,40,1,1,6,1,35.5,0.26,-3.5,-0.09,250,528,47.3,578,127,53.1,39.0,283,78.1,48.7,530,20,3.8,11,0.29,11.7,,,,,,,,,,,,,,,,,,,,,,,,,
