,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
Leicester City,62,433,164,37.9,11.39,4.32,0.14,0.37,17.8,14,2,2,52.1,50.6,0.12,9.9,9.4,58.0,556.0,183.0,32.9,14.63,4.82,0.09,0.28,16.4,15.0,7.0,9.0,68.8,62.0,0.12,-10.8,-11.0
Liverpool,94,721,237,32.9,18.97,6.24,0.12,0.37,16.7,13,7,8,95.1,89.3,0.13,-1.1,-2.3,25.0,297.0,107.0,36.0,7.82,2.82,0.08,0.23,17.2,14.0,0.0,0.0,37.3,37.3,0.13,-12.3,-12.3
Manchester City,96,704,237,33.7,18.53,6.24,0.13,0.38,16.3,17,7,9,96.6,89.3,0.13,-0.6,-0.3,26.0,236.0,84.0,35.6,6.21,2.21,0.11,0.3,17.2,9.0,1.0,1.0,26.0,25.3,0.11,0.0,-0.3
Manchester Utd,56,503,179,35.6,13.24,4.71,0.11,0.3,17.7,19,3,5,61.7,57.8,0.12,-5.7,-4.8,54.0,506.0,175.0,34.6,13.32,4.61,0.1,0.29,17.7,14.0,3.0,5.0,59.6,56.1,0.11,-5.6,-5.1
Newcastle Utd,41,446,142,31.8,11.74,3.74,0.09,0.27,18.1,15,3,3,44.4,42.1,0.1,-3.4,-4.1,60.0,524.0,159.0,30.3,13.79,4.18,0.1,0.35,17.6,23.0,5.0,6.0,62.4,58.0,0.11,-2.4,-3.0
Norwich City,21,370,104,28.1,9.74,2.74,0.05,0.17,19.0,18,3,3,35.7,33.3,0.09,-14.7,-15.3,82.0,619.0,212.0,34.2,16.29,5.58,0.12,0.34,16.9,16.0,9.0,12.0,82.3,73.3,0.12,-0.3,-0.3
Southampton,41,478,161,33.7,12.58,4.24,0.08,0.23,17.7,24,4,4,49.9,46.7,0.1,-8.9,-9.7,65.0,493.0,181.0,36.7,12.97,4.76,0.13,0.35,16.2,11.0,2.0,2.0,63.3,61.9,0.13,1.7,1.1
Tottenham,63,486,185,38.1,12.79,4.87,0.12,0.31,16.7,16,5,5,66.5,62.6,0.13,-3.5,-4.6,39.0,490.0,135.0,27.6,12.89,3.55,0.08,0.27,17.6,11.0,2.0,2.0,45.3,43.7,0.09,-6.3,-6.7
Watford,33,397,123,31.0,10.45,3.24,0.08,0.26,18.1,24,1,2,44.3,42.7,0.11,-11.3,-10.7,74.0,554.0,181.0,32.7,14.58,4.76,0.12,0.38,16.9,16.0,6.0,7.0,72.6,67.2,0.12,1.4,0.8
West Ham,58,443,142,32.1,11.66,3.74,0.12,0.38,16.6,13,4,6,58.0,53.7,0.12,0.0,0.3,49.0,542.0,160.0,29.5,14.26,4.21,0.09,0.29,17.5,15.0,2.0,6.0,58.1,53.9,0.1,-9.1,-6.9
Wolves,35,401,133,33.2,10.55,3.5,0.08,0.26,18.6,13,1,1,41.2,40.6,0.11,-6.2,-6.6,,,,,,,,,,,,,,,,,
